family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
lognormal,0.6,75,paired_t,0.051725,0.0011073563606061,40000,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,100,paired_t,0.051,0.0010999886363049,40000,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,150,paired_t,0.051,0.0010999886363049,40000,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,200,paired_t,0.04995,0.001089208399481,40000,0.5492380807537952,0.5492380807537952,0.0024494897427831
lognormal,0.6,400,paired_t,0.05095,0.0010994782569473,40000,0.5492380807537952,0.5492380807537952,0.0024494897427831
gamma,0.0,10,paired_t,0.05205,0.001110639427312,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,15,paired_t,0.052925,0.0011194188712787,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,20,paired_t,0.0513,0.0011030447633709,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,25,paired_t,0.050775,0.0010976896120374,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,30,paired_t,0.049675,0.001086363134212,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,40,paired_t,0.0523,0.0011131566601336,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,50,paired_t,0.0508,0.0010979453538314,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,75,paired_t,0.0508,0.0010979453538314,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,100,paired_t,0.052325,0.0011134079932239,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,150,paired_t,0.0511,0.0011010085149534,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,200,paired_t,0.0507,0.0010969219434399,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.0,400,paired_t,0.050275,0.0010925592017712,40000,0.4987864200353924,0.4987864200353924,0.0024494897427831
gamma,0.6,10,paired_t,0.0506,0.0010958973492074,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,15,paired_t,0.051,0.0010999886363049,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,20,paired_t,0.05145,0.0011045688921475,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,25,paired_t,0.05015,0.0010912719356329,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,30,paired_t,0.050475,0.0010946149365758,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,40,paired_t,0.05165,0.0011065970077223,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,50,paired_t,0.05155,0.001105583528052,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,75,paired_t,0.05105,0.0011004987221709,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,100,paired_t,0.051125,0.0011012633015655,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,150,paired_t,0.04945,0.0010840283379598,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,200,paired_t,0.050075,0.0010904986746323,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
gamma,0.6,400,paired_t,0.05115,0.0011015180150592,40000,0.3663164142790885,0.3663164142790885,0.0024494897427831
beta,0.0,10,paired_t,0.050925,0.0010992229570815,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,15,paired_t,0.0502,0.0010917870671518,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,20,paired_t,0.0505,0.0010948715678105,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,25,paired_t,0.050675,0.0010966659059964,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,30,paired_t,0.0515,0.001105076354828,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,40,paired_t,0.04895,0.0010788176108592,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,50,paired_t,0.051575,0.0011058370062423,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,75,paired_t,0.04955,0.0010850667894189,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,100,paired_t,0.05145,0.0011045688921475,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,150,paired_t,0.05025,0.0010923018985152,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
beta,0.0,200,paired_t,0.051475,0.0011048226596947,40000,-0.3347420154306855,0.3347420154306855,0.0024494897427831
